playerID,Years_Batted,totGB,totRB,totHB,tot2B,tot3B,totHRB,totSOB,Years_Pitched,totGP,totRP,totHP,totW,totL,totHRP,totSOP,totIPOuts,totER,totBB,Years_Fielded,totGF,totA,totPO,totE,totDP,totPB,totCS,totInnOuts,totSB,debut,finalGame,deathYear,inducted
sexsori01,12,1376,749,1287,260,17,306,1320,0,0,0,0,0,0,0,0,0,0,0,12,1316,954,9870,61,955,0,0,33369,0,1997-09-14,2008-08-13,,0
taylobe99,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,0,0,0,1
schaege01,15,1160,498,977,117,48,9,35,2,2,2,3,0,0,1,0,3,2,0,15,1053,2356,3298,286,321,0,0,270,0,1901-10-05,1918-04-25,1919,0
holmeto01,11,1329,701,1512,292,47,88,122,0,0,0,0,0,0,0,0,0,0,0,11,1240,117,2835,33,38,0,0,171,0,1942-04-14,1952-09-28,2008,0
walkeha01,11,820,388,796,129,37,10,180,0,0,0,0,0,0,0,0,0,0,0,11,727,75,1735,59,20,0,0,279,0,1940-09-25,1955-08-19,1999,0
dropowa01,13,1288,478,1113,168,22,152,582,0,0,0,0,0,0,0,0,0,0,0,13,1177,674,9173,84,969,0,0,13540,0,1949-04-19,1961-05-17,2010,0
mondari01,19,2016,959,1636,251,65,242,1541,0,0,0,0,0,0,0,0,0,0,0,19,1770,118,4027,81,45,0,0,43356,0,1966-09-03,1984-06-20,,0
decindo01,15,1672,791,1529,318,29,239,917,0,0,0,0,0,0,0,0,0,0,0,15,1650,3403,1509,214,377,0,0,41350,0,1973-09-09,1987-10-04,,0
eckstda01,10,1355,727,1463,236,20,37,427,0,0,0,0,0,0,0,0,0,0,0,10,1300,3510,1974,103,805,0,0,33190,0,2001-04-03,2010-10-03,,0
paigesa01,6,180,2,12,0,0,0,32,6,180,191,429,28,31,29,288,1430,174,180,6,180,62,17,0,3,0,0,11,0,1948-07-09,1965-09-25,1982,1
welchmi01,13,609,270,495,94,16,12,330,13,568,2572,4608,308,212,107,1853,14472,1457,1309,13,624,714,265,153,25,0,0,0,0,1880-05-01,1892-05-17,1941,1
matheed01,17,2407,1516,2325,359,72,513,1504,0,0,0,0,0,0,0,0,0,0,0,17,2360,4417,2980,316,446,0,0,53330,0,1952-04-15,1968-09-27,2001,1
